10	65	11	28	5	74	13	33	3	51	15	75	6	73	9	32	7	13	4	81	2	35	8	59	14	38	12	55	1	27
1	64	2	53	12	83	3	33	5	6	10	52	15	72	9	7	14	90	13	21	7	23	4	10	11	39	6	49	8	72
15	73	4	82	2	23	13	62	7	88	6	21	9	65	12	70	8	53	11	81	3	93	14	77	1	61	10	28	5	78
2	12	7	51	8	33	5	15	15	72	11	98	10	94	6	12	12	42	3	24	14	15	9	28	4	6	13	99	1	41
13	97	6	7	10	96	5	15	15	73	14	43	1	32	9	22	12	42	2	94	3	23	8	86	7	78	11	24	4	31
2	72	6	88	3	93	14	13	5	44	15	66	7	63	8	14	10	67	11	17	12	85	1	35	4	68	13	5	9	49
10	15	8	82	7	21	15	53	4	72	14	49	3	99	5	26	13	56	9	45	2	68	11	51	1	8	6	27	12	96
4	54	8	24	5	14	9	38	6	36	3	52	15	55	13	37	12	48	1	93	14	60	11	70	2	23	7	23	10	83
4	12	9	69	7	26	10	23	15	28	2	82	6	33	5	45	14	64	8	15	12	9	13	73	11	59	3	37	1	62
1	87	6	12	8	80	5	50	11	48	13	90	2	72	14	24	7	14	9	71	12	44	10	46	3	15	15	61	4	92
3	54	1	22	7	61	5	46	4	73	6	16	13	6	10	94	15	93	14	67	9	54	8	75	12	32	11	40	2	97
11	92	15	36	5	22	10	9	4	47	2	77	13	79	14	36	7	30	9	98	12	79	8	7	6	55	3	6	1	30
1	49	14	83	4	73	7	82	2	82	15	92	12	73	5	31	11	35	10	54	6	7	9	37	8	72	3	52	13	76
11	98	13	34	14	52	5	26	2	28	4	39	9	80	6	29	10	70	1	43	7	48	8	58	3	45	15	94	12	96
2	70	11	17	7	90	13	67	5	14	9	23	4	21	8	18	14	43	12	84	6	26	10	36	3	93	15	84	1	42
